REEF_ID,YEAR,DHW_MAX,SSTA_MAX
15009S,1995,1.12,1.79
15018S,1995,1.12,1.82
15019S,1995,1.1,1.82
15022S,1995,1.25,1.83
15024S,1995,1.12,1.82
15027S,1995,1.27,1.83
15028S2,1995,1.11,1.8
15030S,1995,1.1,1.76
15047S,1995,1.05,1.87
15054S,1995,0.85,1.55
15077S,1995,1.06,1.87
15081S,1995,0.99,1.76
15084S,1995,1.24,1.95
15089S,1995,1.18,1.84
14075S,1995,0.6,1.85
14085S,1995,0.8,1.96
14137S,1995,1.12,1.95
14138S,1995,1.12,1.93
14139S,1995,1.12,1.93
14152S,1995,0.62,1.77
14154S,1995,0.63,1.82
15023S,1995,1.27,1.86
15025S,1995,1.27,1.86
15032S,1995,1.49,1.97
15034S,1995,1.6400000000000001,1.97
15037S,1995,1.6400000000000001,1.97
15050S,1995,1.86,2.08
15080S,1995,1.12,2.0300000000000002
15085S,1995,1.12,2.0300000000000002
19103S,1995,0.79,2.27
18118S,1995,1.76,2.09
19019S,1995,1.9100000000000001,2.06
19028S,1995,1.6500000000000001,2.0
19044S,1995,1.34,1.75
19045S,1995,1.8800000000000001,2.04
19046S,1995,1.48,1.9000000000000001
19047S,1995,1.59,1.83
19063A,1995,1.17,1.94
19063B,1995,1.32,1.9100000000000001
19076S,1995,1.56,2.04
19082S,1995,1.52,2.13
19098S,1995,1.5,1.94
18112S,1995,1.6400000000000001,1.96
18120S,1995,2.0100000000000002,2.2600000000000002
19061S,1995,1.93,2.27
17012A,1995,3.0300000000000002,2.17
17043A,1995,2.7600000000000002,2.16
17043C,1995,2.7600000000000002,2.16
16067S,1995,1.26,2.11
16071S,1995,2.13,2.19
17004S,1995,3.11,2.25
17010S,1995,3.0700000000000003,2.2600000000000002
17011S,1995,3.0300000000000002,2.24
17016S,1995,3.13,2.25
17024S,1995,3.63,2.34
17034S,1995,3.63,2.37
17044S,1995,2.97,2.42
17051S,1995,3.2,2.47
17063A,1995,3.5100000000000002,2.48
17064S,1995,3.54,2.47
17008S,1995,2.15,2.13
17014S,1995,2.91,2.19
17032S,1995,3.91,2.38
17057S,1995,4.16,2.46
17059A,1995,3.5500000000000003,2.46
17068S,1995,2.63,2.19
13006S,1995,0.15,1.1400000000000001
13081S,1995,0.32,1.45
13107S,1995,0.31,1.45
14017S,1995,0.97,1.45
13041S,1995,0.0,1.12
13060S,1995,0.16,1.3
13063S,1995,0.3,1.29
13072S,1995,0.3,1.33
13076S,1995,0.31,1.3900000000000001
13087S,1995,0.48,1.52
13093A,1995,0.5,1.48
13108S,1995,0.48,1.49
13124S,1995,1.11,1.51
14003S,1995,0.16,1.42
14016S,1995,0.81,1.48
13040S,1995,0.3,1.21
13056S,1995,0.32,1.24
13118A,1995,0.98,1.3900000000000001
13121S,1995,1.2,1.47
13127S,1995,0.87,1.42
13130S,1995,0.87,1.35
13133S,1995,0.88,1.35
14045S,1995,0.56,1.69
21031S,1995,0.47000000000000003,1.92
21039S,1995,0.15,1.7
21308S,1995,0.52,1.69
21334S,1995,0.0,1.6300000000000001
21340S,1995,0.38,1.71
21386S,1995,0.14,2.0300000000000002
19219S,1995,0.72,1.69
20112S,1995,0.72,1.86
20144S,1995,1.03,1.96
20145S,1995,1.3800000000000001,1.93
20287S,1995,0.99,2.05
20297S,1995,1.37,1.84
20299D,1995,0.92,1.74
20309S,1995,1.31,1.78
20348S,1995,1.07,1.68
20351A,1995,0.65,1.45
20351B,1995,0.48,1.3800000000000001
20353S,1995,0.6900000000000001,1.49
20354S,1995,0.6900000000000001,1.49
21025S,1995,1.08,1.95
21060S,1995,0.67,1.3900000000000001
21062S,1995,0.65,1.49
21064S,1995,0.47000000000000003,1.3900000000000001
21074S,1995,0.0,1.54
21104S,1995,0.3,1.49
21137S,1995,0.5,1.58
21139S,1995,0.49,1.6
21140S,1995,0.68,1.78
21187S,1995,0.48,1.33
21591S,1995,0.3,1.52
20113S,1995,0.77,1.6400000000000001
21179S,1995,0.31,1.22
21186S,1995,0.61,1.24
21217S,1995,0.81,1.3
21219S,1995,0.63,1.3900000000000001
21235S,1995,0.47000000000000003,1.46
21241S,1995,0.61,1.46
21245S,1995,0.61,1.43
21278S,1995,0.87,1.43
21286S,1995,0.8,1.33
21450S,1995,0.44,1.48
21467S,1995,0.63,1.61
21497S,1995,0.61,1.43
21501S,1995,0.29,1.3900000000000001
21511S,1995,0.15,1.3
21529S,1995,0.63,1.33
21550S,1995,0.15,1.34
21556S,1995,0.0,1.25
21557S1,1995,0.0,1.25
21572S,1995,0.0,1.1500000000000001
21577S,1995,0.0,1.16
21584S,1995,0.0,1.2
21588S,1995,0.0,1.2
22084S,1995,0.0,1.25
22088S,1995,0.62,1.42
22102S,1995,0.15,1.2
22104S,1995,0.0,1.17
22112S,1995,0.0,1.23
22118S,1995,0.15,1.27
